"There are no posts at this moment.","No hi ha cap publicació en aquest moment."
"Published at:","Publicat el:"
"Published At","Publicat El"
"Updated at","Actualitzat a les"
"Published at","Publicat a les"
"Are you sure you want to do this?","Estàs segur que vols fer això?"
"Add New Record","Afegir un nou element"
"You deleted the record.","Has elimintat l'element."
"Record does not exist.","L'Element no existeix."
"We had an error when we try to load our post record:","Hem tingut un error cuan hem intentat carregar l'element post:"
"Edit Record","Editar element",
"A total of %1 record(s) have been deleted.","Un total de %1 elements han sigut eliminats."
"Post ID %1 is not a valid parameter","Post ID %1 no és un paràmetre vàlit"
"You saved this record.","Has guardat aquest element."
"Something went wrong while saving the record.","Alguna cosa ha anat malament mentres intentàvem guardar l'element."
"Post Identifier","Identificador del Post"
"To apply changes you should fill in required ""%1"" field","Per aplicar els canvis, heu d'omplir el camp obligatori ""%1"""
"Something went wrong while getting the image url.","S'ha produït un error en obtenir l'URL de la imatge."
"Post per page value needs to be a positive and not decimal number.","El valor de posts per pàgina ha de ser un nombre positiu i no decimal."
"Delete ""%1""","Eliminar ""%1"""
"Are you sure you want to delete the ""%1"" record?","Esteu segur que voleu suprimir el registre ""%1""?"
"Blog Configuration","Configuració del Blog"
"Enable Extension","Activar Extensió"
"This will disable all frontend features and blog and post pages will return 404. Even so, this flag not disable admin features or Blog rewrites urls generation.","Això desactivarà totes les funcions d'interfície i les pàgines del blog i publicacions tornaran un 404. Tot i així, això no desactiva les funcions d'administració ni la generació d'URL de reescriu del blog."
"Blog Index page","Pàgina Index del Blog"
"Post Per Page","Post por página"
"Display Blog Summary","Mostrar Resum del Blog"
"CMS Summary Block","Bloc Resum CMS"
"Please make sure that CMS Block is enabled.","Si us plau, assegureu-vos que el CMS Bloc està habilitat."
"Display Blog Link","Mostra l'enllaç del blog"
"Hreflang","Hreflang"
"To configure hreflang, you need to do the next steps:<br />- Configure hreflang in all storeviews that you want to related<br />- Select one storeview like default language.<br />- Enable this feature for general config or specific website (not storeview).","Per configurar hreflang, heu de fer els passos següents:<br />- Configura hreflang a totes les vistes de botiga que vulguis relacionar<br />- Seleccioneu una vista de botiga com l'idioma predeterminat.<br />- Habiliteu aquesta funció per a la configuració general o lloc web específic (no storeview)."
"Option to enable/disable option to add hreflang in blog/post pages.","Opció per activar/desactivar l'opció per afegir hreflang a les pàgines de blocs/publicacions."
"Please, add the hreflang language code from this store view config (you can see all hreflang codes in https://hreflang.org/list-of-hreflang-codes/ page). If is empty, we will ignore this storeview to generate hreflang.","Please, add the hreflang language code from this store view config (you can see all hreflang codes in https://hreflang.org/list-of-hreflang-codes/ page). If is empty, we will ignore this storeview to generate hreflang."
"Please, only select one storeview for default language. If you select two or more, we will take the first one.","Si us plau, seleccioneu només una vista de botiga per a l'idioma predeterminat. Si en seleccioneu dos o més, agafarem el primer."
"Xml Sitemap","Xml Sitemap"
"Blog Index Page Options","Opcions per la pàgina Index del blog"
"Post Options","Opcions per els Post"
"Read more","Llegir més"
"Short Content","Contingut Curt"
"Image Alt","Alt de la Imatge"
"List Image","Imatge del Llistat"
"List Image Alt","Alt de la Imatge del Llistat"
"Leave blank to use Title by default.","Deixa en blanc per utilitzar el títol de manera predeterminada."
"Leave blank to use Meta Title by default.","Deixa en blanc per utilitzar el Meta títol de manera predeterminada."
"Leave blank to use Meta Description by default.","Deixa en blanc per utilitzar el Meta descripció de manera predeterminada."
"Leave blank to use Image by default.","Deixa en blanc per utilitzar la Imatge de manera predeterminada."
