"There are no posts at this moment.","No hay ninguna publicación en este momento."
"Published at:","Publicado el:"
"Updated at","Actualizado en"
"Published at","Publicado en"
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto?"
"Add New Record","Añadir nuevo elemento"
"You deleted the record.","Has eliminado el elemento."
"Record does not exist.","El elemento no existe."
"We had an error when we try to load our post record:","Hemos tenido un error cuando intentábamos cargar el elemento post:"
"Edit Record","Editar elemento"
"A total of %1 record(s) have been deleted.","Un total de %1 elemmentos han sido eliminados."
"Post ID %1 is not a valid parameter","Post ID %1 no es un parámetro válido"
"You saved this record.","Has guardado este elemento."
"Something went wrong while saving the record.","Algo ha ido mal mientras intentábamos guardar el elemento."
"Post Identifier","Identificador del Post"
"To apply changes you should fill in required ""%1"" field","Para aplicar los cambios, debe completar el campo obligatorio ""%1"""
"Something went wrong while getting the image url.","Algo salió mal al obtener la URL de la imagen."
"Post per page value needs to be a positive and not decimal number.","El valor de posts por página debe ser un número positivo y no decimal."
"Delete ""%1""","Eliminar ""%1"""
"Are you sure you want to delete the ""%1"" record?","¿Está seguro de que desea eliminar el registro ""%1""?"
"Blog Configuration","Configuración del Blog"
"Enable Extension","Activar Extensión"
"This will disable all frontend features and blog and post pages will return 404. Even so, this flag not disable admin features or Blog rewrites urls generation.","Esto deshabilitará todas las funciones frontend del blog y las páginas de publicación devolverán 404. Aun así, esto no deshabilitará las funciones de administración o la generación de URL de reescritura del blog."
"Blog Index page","Página Index del blog"
"Post Per Page","Post por página"
"Display Blog Summary","Mostrar Resumen del Blog"
"CMS Summary Block","Bloque Resuem CMS"
"Please make sure that CMS Block is enabled.","Asegúrese de que el Bloque de CMS esté habilitado."
"Display Blog Link","Muestra el enlace del Blog"
"Hreflang","Hreflang"
"To configure hreflang, you need to do the next steps:<br />- Configure hreflang in all storeviews that you want to related<br />- Select one storeview like default language.<br />- Enable this feature for general config or specific website (not storeview).","Para configurar hreflang, debe realizar los siguientes pasos:<br />- Configure hreflang en todas las vistas de tienda que desee relacionar<br />- Seleccione una vista de tienda como idioma predeterminado.<br />- Habilite esta función para la configuración general o sitio web específico (no storeview)."
"Option to enable/disable option to add hreflang in blog/post pages.","Opción para habilitar/deshabilitar la opción para agregar hreflang en páginas de blog/publicación."
"Please, add the hreflang language code from this store view config (you can see all hreflang codes in https://hreflang.org/list-of-hreflang-codes/ page). If is empty, we will ignore this storeview to generate hreflang.","Agregue el código de idioma hreflang de esta configuración de vista de tienda (puede ver todos los códigos hreflang en la página https://hreflang.org/list-of-hreflang-codes/). Si está vacío, ignoraremos esta vista de la tienda para generar hreflang."
"Please, only select one storeview for default language. If you select two or more, we will take the first one.","Por favor, seleccione solo una vista de tienda para el idioma predeterminado. Si selecciona dos o más, nos quedaremos con el primero."
"Xml Sitemap","Xml Sitemap"
"Blog Index Page Options","Opciones para la página Indice del blog"
"Post Options","Opciones página Post"
